Date,Group,Time,Age,Sex,Juvenile age,EA mins,FO mins,RE mins,SO mins,TR mins,Total mins,EA Div Total,FO Div Total,RE Div Total,SO Div Total,TR Div Total
06/21/2017,A,01:07:00 AM,JV,F,J1,,,,,,,0.33,0.167,0.167,0,0.33
06/21/2017,A,02:01:00 AM,JV,M,J1,,,,,,,0,0.167,0.2,0,0.667
06/21/2017,A,02:11:00 AM,JV,M,J1,,,,,,,0,0.4,0,0.167,0.4
06/21/2017,A,02:27:00 AM,JV,M,J1,,,,,,,0.33,0.167,0.33,0,0.167
06/23/2017,A,10:44:00 AM,JV,M,J1,,,,,,,0.1,0.3,0.2,0,0.4
06/23/2017,A,11:03:00 AM,JV,M,J1,,,,,,,0.1,0.2,0.4,0,0.3
06/23/2017,A,11:15:00 AM,JV,F,J1,,,,,,,0.167,0.33,0.33,0,0.167
06/23/2017,A,11:30:00 AM,AM,M,,,,,,,,0.11,0.11,0.33,0,0.44
06/23/2017,A,12:06:00 PM,AM,M,,,,,,,,0,0.3,0.4,0,0.3
06/23/2017,A,12:17:00 PM,AM,M,,,,,,,,0,0,0.9,0,0.1
06/23/2017,A,01:14:00 AM,AM,M,,,,,,,,0.1,0.3,0.4,0,0.2
06/27/2017,A,11:19:00 AM,AM,M,,,,,,,,0.1,0.4,0.4,0,0.1
06/27/2017,A,12:05:00 PM,AM,M,,,,,,,,0,0.33,0.167,0,0.5
06/27/2017,A,12:27:00 PM,AM,M,,,,,,,,0.33,0.33,0.167,0,0.167
06/27/2017,A,12:48:00 PM,JV,M,J1,,,,,,,0.167,0.167,0.167,0.167,0.33
06/27/2017,A,12:59:00 PM,AM,M,,,,,,,,0,0.167,0.33,0,0.5
06/27/2017,A,01:39:00 AM,AM,M,,,,,,,,0,0.44,0.33,0,0.22
06/28/2017,B,11:22:00 AM,AM,M,,,,,,,,0,0.667,0,0,0.333
07/01/2017,B,11:43:00 AM,JV,F,J1,,,,,,,0.125,0.25,0.25,0,0.375
07/04/2017,A,09:45:00 AM,JV,M,J1,,,,,,,0,0.143,,0.571,0.286
07/04/2017,A,10:10:00 AM,JV,F,J1,,,,,,,0,0.6,0.2,0,0.2
07/04/2017,A,10:52:00 AM,JV,M,J1,,,,,,,0.111,0.556,0.222,0,0.111
07/04/2017,A,11:06:00 AM,AM,M,,,,,,,,0,0,0.8,0,0.2
07/04/2017,A,11:51:00 AM,JV,F,J1,,,,,,,0.167,0.333,0.167,0,0.333
07/04/2017,A,12:40:00 PM,AM,M,,,,,,,,0,0.111,0.889,0,0
07/05/2017,C,10:08:00 AM,AM,M,,,,,,,,0.2,0,0.4,0,0.4
07/05/2017,C,10:56:00 AM,JV,M,J1,,,,,,,0,0.25,0.375,0,0.375
07/05/2017,C,11:09:00 AM,AM,M,,,,,,,,0.1,0.3,0.4,0,0.2
07/06/2017,C,09:52:00 AM,AM,M,,,,,,,,0.2,0.2,0.2,0,0.4
07/06/2017,C,10:13:00 AM,JV,M,J1,,,,,,,0,0.167,0.5,0,0.333
07/06/2017,C,10:19:00 AM,JV,F,J1,,,,,,,0.4,0.4,0,0,0.2
07/06/2017,C,10:59:00 AM,JV,M,J1,,,,,,,0.286,0.143,0,0,0.571
07/06/2017,C,11:18:00 AM,AM,M,,,,,,,,0,0.333,0.5,0,0.167
07/06/2017,C,11:26:00 AM,JV,M,J1,,,,,,,0,0.556,0.222,0,0.222
07/06/2017,C,12:04:00 PM,JV,M,J1,,,,,,,0,0,0.444,0,0.556
07/06/2017,C,12:17:00 PM,JV,F,J1,,,,,,,0,0.2,0.2,0,0.6
07/06/2017,C,12:34:00 PM,JV,M,J1,,,,,,,0.1,0.4,0.1,0,0.4
07/06/2017,C,12:47:00 PM,JV,M,J1,,,,,,,0.111,0.333,0,0,0.556
07/07/2017,C,08:21:00 AM,AM,M,,,,,,,,0,0.4,0.2,0,0.4
07/07/2017,C,08:28:00 AM,JV,M,J1,,,,,,,0.167,0.333,0.167,0,0.333
07/07/2017,C,09:41:00 AM,AM,M,,,,,,,,0,0.25,0.5,0,0.25
07/07/2017,C,09:55:00 AM,JV,M,J1,,,,,,,0.125,0.5,0,0,0.375
07/07/2017,C,10:17:00 AM,JV,M,J1,,,,,,,0,0.667,0,0.167,0.167
07/07/2017,C,10:31:00 AM,AM,M,,,,,,,,0.167,0.167,0.167,0,0.5
07/07/2017,C,10:53:00 AM,JV,F,J1,,,,,,,0,0.1,0.5,0.1,0.3
07/07/2017,C,11:23:00 AM,AM,M,,,,,,,,0.111,0,0.333,0,0.556
07/07/2017,C,12:07:00 PM,JV,F,J1,,,,,,,0,0.111,0.444,0,0.444
07/07/2017,C,12:40:00 PM,AM,M,,,,,,,,0.5,0.333,0.167,0,0
07/08/2017,B,08:34:00 AM,JV,F,J1,,,,,,,0.2,0.4,0.2,0,0.2
07/08/2017,B,08:57:00 AM,AM,M,,,,,,,,0,0.333,0.333,0,0.333
07/08/2017,B,10:02:00 AM,JV,F,J1,,,,,,,0.167,0.333,0.167,0,0.333
07/08/2017,B,10:54:00 AM,JV,F,J1,,,,,,,0,0.4,0.3,0,0.3
07/11/2017,B,11:22:00 AM,JV,F,J1,,,,,,,0,0.222,0.222,0,0.556
07/11/2017,B,01:08:00 AM,JV,F,J1,,,,,,,0,0.666,0,0,0.333
07/15/2017,A,04:37:00 AM,JV,F,J1,,,,,,,0.1,0.2,0.3,0.2,0.2
07/15/2017,A,05:03:00 AM,JV,M,J1,,,,,,,0,0,0.571,0.143,0.429
07/17/2017,A,09:01:00 AM,JV,M,J1,,,,,,,0.2,0.3,0.5,0,0
07/17/2017,A,09:12:00 AM,JV,F,J1,,,,,,,0.2,0.4,0,0.1,0.3
07/17/2017,A,09:31:00 AM,JV,F,J1,,,,,,,0,0.333,0.333,0,0.333
07/17/2017,A,09:59:00 AM,JV,M,J1,,,,,,,0.2,0.3,0.2,0,0.3
07/17/2017,A,10:18:00 AM,JV,F,J1,,,,,,,0.143,0.143,0.286,0.143,0.286
07/17/2017,A,11:02:00 AM,JV,M,J1,,,,,,,0,0.143,0.429,0.143,0.286
07/17/2017,A,11:19:00 AM,AM,M,,,,,,,,0,0.167,0.167,0,0.667
