Date,Open,High,Low,AdjustedClose
09/17/2020,415.6,437.79,408,423.43
09/18/2020,447.94,451,428.8,442.15
09/21/2020,453.13,455.68,407.07,449.39
09/22/2020,429.6,437.76,417.6,424.23
09/23/2020,405.16,412.15,375.88,380.36
09/24/2020,363.8,399.5,351.3,387.79
09/25/2020,393.47,408.73,391.3,407.34
09/28/2020,424.62,428.08,415.55,421.2
09/29/2020,416,428.5,411.6,419.07
09/30/2020,421.32,433.93,420.47,429.01
10/01/2020,440.76,448.88,434.42,448.16
10/02/2020,421.39,439.13,415,415.09
10/05/2020,423.35,433.64,419.33,425.68
10/06/2020,423.79,428.78,406.05,413.98
10/07/2020,419.87,429.9,413.85,425.3
10/08/2020,438.44,439,425.3,425.92
10/09/2020,430.13,434.59,426.46,434
10/12/2020,442,448.74,438.58,442.3
10/13/2020,443.35,448.89,436.6,446.65
10/14/2020,449.78,465.9,447.35,461.3
10/15/2020,450.31,456.57,442.5,448.88
10/16/2020,454.44,455.95,438.85,439.67
10/19/2020,446.24,447,428.87,430.83
10/20/2020,431.75,431.75,419.05,421.94
10/21/2020,422.7,432.95,421.25,422.64
10/22/2020,441.92,445.23,424.51,425.79
10/23/2020,421.84,422.89,407.38,420.63
10/26/2020,411.63,425.76,410,420.28
10/27/2020,423.76,430.5,420.1,424.68
10/28/2020,416.48,418.6,406,406.02
10/29/2020,409.96,418.06,406.46,410.83
10/30/2020,406.9,407.59,379.11,388.04
11/02/2020,394,406.98,392.3,400.51
11/03/2020,409.73,427.77,406.69,423.9
11/04/2020,430.62,435.4,417.1,420.98
11/05/2020,428.3,440,424,438.09
11/06/2020,436.1,436.57,424.28,429.95
11/09/2020,439.5,452.5,421,421.26
11/10/2020,420.09,420.09,396.03,410.36
11/11/2020,416.45,418.7,410.58,417.13
11/12/2020,415.05,423,409.52,411.76
11/13/2020,410.85,412.53,401.66,408.5
11/16/2020,408.93,412.45,404.09,408.09
11/17/2020,460.17,462,433.01,441.61
11/18/2020,448.35,496,443.5,486.64
11/19/2020,492,508.61,487.57,499.27
11/20/2020,497.99,502.5,489.06,489.61
11/23/2020,503.5,526,501.79,521.85
11/24/2020,540.4,559.99,526.2,555.38
11/25/2020,550.06,574,545.37,574
11/27/2020,581.16,598.78,578.45,585.76
11/30/2020,602.21,607.8,554.51,567.6
12/01/2020,597.59,597.85,572.05,584.76
12/02/2020,556.44,571.54,541.21,568.82
12/03/2020,590.02,598.97,582.43,593.38
12/04/2020,591.01,599.04,585.5,599.04
12/07/2020,604.92,648.79,603.05,641.76
12/08/2020,625.51,651.28,618.5,649.88
12/09/2020,653.69,654.32,588,604.48
12/10/2020,574.37,627.75,566.34,627.07
12/11/2020,615.01,624,596.8,609.99
12/14/2020,619,642.75,610.2,639.83
12/15/2020,643.28,646.9,623.8,633.25
12/16/2020,628.23,632.5,605,622.77
12/17/2020,628.19,658.82,619.5,655.9
12/18/2020,668.9,695,628.54,695
12/21/2020,666.24,668.48,651.43,662.02
